choice_id;question_id;choice_label;choice_text_md;is_correct;sort_order;feedback_md;match_role;match_choice_id;group_label
C0073;Q0018;A;Átkapcsolja az előző állapotot.;true;1;Ez az impulzusrelé működése.;;;
C0074;Q0018;B;Mindig kikapcsolt állapotban marad.;false;2;Ez nem igaz.;;;
C0075;Q0018;C;Csak a feszültségszintet csökkenti.;false;3;Ez nem igaz.;;;
C0076;Q0018;D;A motor túlterhelését érzékeli.;false;4;Ez nem az impulzusrelé feladata.;;;
C0077;Q0019;A;Elengedés késleltetésű időrelé.;true;1;A lépcsőházi automata erre épül.;;;
C0078;Q0019;B;Olvadóbiztosító.;false;2;Ez nem időrelé.;;;
C0079;Q0019;C;Motorvédő kapcsoló.;false;3;Ez nem időrelé.;;;
C0080;Q0019;D;Keresztkapcsoló.;false;4;Ez nem időrelé.;;;
C0081;Q0020;A;Hőrelé;true;1;Túlterhelésvédelmet ad.;;;
C0082;Q0020;B;Motorvédő kapcsoló;true;2;Túlterhelésvédelmet ad.;;;
C0083;Q0020;C;Mágneskapcsoló;false;3;Ez főként kapcsolóeszköz.;;;
C0084;Q0020;D;FI-relé;false;4;Ez hibaáram-védelmi eszköz.;;;
C0085;Q0021;A;3;true;1;A forrás szerint többnyire három főérintkező van.;;;
C0086;Q0021;B;1;false;2;Ez túl kevés.;;;
C0087;Q0021;C;2;false;3;Ez nem jellemző.;;;
C0088;Q0021;D;4;false;4;Ez nem a tipikus megoldás.;;;
C0089;Q0022;A;Elektromágneses működésű készülékek.;true;1;A mágneskapcsolók ilyenek.;;;
C0090;Q0022;B;Segédérintkezőik bővíthetők.;true;2;Ez igaz.;;;
C0091;Q0022;C;Három főáramköri záró érintkezőjük van.;true;3;Ez többnyire igaz.;;;
C0092;Q0022;D;Legalább egy záró és egy nyitó érintkezőt tartalmaznak vezérlési célra.;true;4;Ez szerepel a forrásban.;;;
C0093;Q0022;E;Csak manuálisan működtethetők.;false;5;Ez nem igaz.;;;
C0094;Q0022;F;Általában nem használhatók vezérlésben.;false;6;Ez nem igaz.;;;
C0095;Q0023;A;A vezérlés eredménytől függetlenül végrehajtódik, a szabályzás visszacsatolással korrigál.;true;1;Ez a legjobb összefoglalás.;;;
C0096;Q0023;B;A szabályzás mindig rugalmatlanabb, mint a vezérlés.;false;2;Pont fordítva.;;;
C0097;Q0023;C;A vezérlés csak érzékelőkkel működik.;false;3;Nem csak azzal.;;;
C0098;Q0023;D;A szabályzás sosem használ visszacsatolást.;false;4;Ez nem igaz.;;;
C0099;Q0024;A;Rendelkező szerv;true;1;A hatáslánc része.;;;
C0100;Q0024;B;Érzékelő szerv;true;2;A hatáslánc része.;;;
C0101;Q0024;C;Jelformáló szerv;true;3;A hatáslánc része.;;;
C0102;Q0024;D;Erősítő;true;4;A hatáslánc része.;;;
C0103;Q0024;E;Beavatkozó szerv;true;5;A hatáslánc része.;;;
C0104;Q0024;F;Földelő szerv;false;6;Ez nem része.;;;
C0105;Q0025;A;3;true;1;A külső villámvédelem három részből áll.;;;
C0106;Q0025;B;2;false;2;Ez nem elegendő.;;;
C0107;Q0025;C;4;false;3;A forrás szerint három elem van.;;;
C0108;Q0025;D;1;false;4;Ez nem igaz.;;;
C0109;Q0026;A;Felfogórendszer;true;1;Ez az egyik rész.;;;
C0110;Q0026;B;Levezetőrendszer;true;2;Ez a másik rész.;;;
C0111;Q0026;C;Földelőrendszer;true;3;Ez a harmadik rész.;;;
C0112;Q0026;D;Tápellátórendszer;false;4;Ez nem része.;;;
C0113;Q0026;E;Vezérlőrendszer;false;5;Ez nem része.;;;
C0114;Q0027;A;International Protection;true;1;Ez a helyes megfejtés.;;;
C0115;Q0027;B;Ingress Pressure;false;2;Ez nem helyes.;;;
C0116;Q0027;C;Internal Protection;false;3;Ez nem helyes.;;;
C0117;Q0027;D;Insulation Performance;false;4;Ez nem helyes.;;;
C0118;Q0028;A;Barna;true;1;A dokumentum szerint ez fázisvezető lehet.;;;
C0119;Q0028;B;Fekete;true;2;A dokumentum szerint ez fázisvezető lehet.;;;
C0120;Q0028;C;Szürke;true;3;A dokumentum szerint ez fázisvezető lehet.;;;
C0121;Q0028;D;Kék;false;4;Ez a nulla vezető színe.;;;
C0122;Q0028;E;Zöld;false;5;Ez nem fázisvezető szín.;;;
C0123;Q0028;F;Piros;false;6;Ez nem fázisvezető szín.;;;
C0124;Q0029;A;Van zöld-sárga színjelölésű ér.;true;1;Ez a J jelentése.;;;
C0125;Q0029;B;Az ér és köpenyszigetelés PVC.;false;2;Ez a NYY jellegéhez tartozik, nem a J-hez.;;;
C0126;Q0029;C;Az ér elemi szálas réz vezető.;false;3;Ez más jelöléshez tartozik.;;;
C0127;Q0029;D;A vezető ér anyaga alumínium.;false;4;Ez nem a J jelentése.;;;
C0128;Q0030;A;Van zöld-sárga színjelölésű ér.;true;1;A G ezt jelöli.;;;
C0129;Q0030;B;Az ér szektor kialakítású.;false;2;Ez nem a G jelentése.;;;
C0130;Q0030;C;Az ér- és köpenyszigetelés PVC.;false;3;Ez nem a G jelentése.;;;
C0131;Q0030;D;A vezető ér anyaga alumínium.;false;4;Ez nem a G jelentése.;;;
C0132;Q0031;A;Túláram;true;1;A kismegszakító erre oldhat le.;;;
C0133;Q0031;B;Zárlati áram;true;2;A kismegszakító erre oldhat le.;;;
C0134;Q0031;C;Hibaáram;false;3;Ez FI-reléhez tartozik.;;;
C0135;Q0031;D;Meddő áram;false;4;Ez nem leoldási ok.;;;
C0136;Q0032;A;Teljes leválasztás.;true;1;Ez az első lépés.;;;
C0137;Q0032;B;Visszakapcsolás elleni védelem biztosítása.;true;2;Ez a második lépés.;;;
C0138;Q0032;C;A villamos berendezés feszültség nélküli állapotának ellenőrzése.;true;3;Ez a harmadik lépés.;;;
C0139;Q0032;D;Kisütés, földelés, rövidre zárás végrehajtása.;true;4;Ez a negyedik lépés.;;;
C0140;Q0032;E;A közeli, feszültség alatti részek elleni védelem biztosítása.;true;5;Ez az ötödik lépés.;;;
C0141;Q0032;F;A készülék azonnali üzembe helyezése.;false;6;Ez nem a feszültségmentesítés része.;;;
C0142;Q0033;A;SELV: földeletlen érintésvédelmi törpefeszültség leválasztó transzformátorral.;true;1;Ez a helyes leírás.;;;
C0143;Q0033;B;PELV: földelt érintésvédelmi törpefeszültség leválasztó transzformátorral és védővezetővel.;true;2;Ez a helyes leírás.;;;
C0144;Q0033;C;FELV: üzemi törpefeszültség.;true;3;Ez a helyes leírás.;;;
C0145;Q0033;D;SELV: 230V-os hálózati rendszer.;false;4;Ez nem igaz.;;;
C0146;Q0033;E;FELV: földeletlen védőfeszültség.;false;5;Ez nem a megadott definíció.;;;
C0147;Q0034;A;Egypólusú kapcsoló.;true;1;A hét alap típus egyike.;;;
C0148;Q0034;B;Kétpólusú kapcsoló.;true;2;A hét alap típus egyike.;;;
C0149;Q0034;C;Hárompólusú kapcsoló.;true;3;A hét alap típus egyike.;;;
C0150;Q0034;D;Kétáramkörös kapcsoló (csillárkapcsoló).;true;4;A hét alap típus egyike.;;;
C0151;Q0034;E;Váltókapcsoló.;true;5;A hét alap típus egyike.;;;
C0152;Q0034;F;Kettős váltókapcsoló.;true;6;A hét alap típus egyike.;;;
C0153;Q0034;G;Keresztkapcsoló.;true;7;A hét alap típus egyike.;;;
C0154;Q0034;H;Mozgásérzékelő.;false;8;Ez hasznos lehet, de nem az alap kapcsolótípusok közé tartozik.;;;
C0155;Q0035;A;Egy billentyűs.;true;1;Az egypólusú kapcsoló egy billentyűvel rendelkezik.;;;
C0156;Q0035;B;A fázisvezetőbe kell kötni.;true;2;Az egypólusú kapcsolót mindig a fázisba kötjük.;;;
C0157;Q0035;C;Egypólusú kapcsoló.;true;3;Ez a típusa.;;;
C0158;Q0035;D;Két fogyasztói csoportot kapcsol egyszerre.;false;4;Ez a kétáramkörös kapcsoló feladata.;;;
C0159;Q0035;E;400V-os világításra való.;false;5;Ez nem az egypólusú kapcsoló fő jellemzője.;;;
C0160;Q0036;A;Három fázist kapcsol egyszerre.;true;1;A 103-as kapcsoló ezt teszi.;;;
C0161;Q0036;B;Egy billentyűs.;true;2;A hárompólusú kapcsoló egy billentyűvel működik.;;;
C0162;Q0036;C;Ipari világításnál használható.;true;3;A forrás ezt emeli ki.;;;
C0163;Q0036;D;Névleges üzemi feszültsége 400V.;true;4;A 103-as kapcsolóhoz ez a megadott érték.;;;
C0164;Q0036;E;Két helyről kapcsolható egy fogyasztó.;false;5;Ez váltókapcsolóhoz tartozik.;;;
C0165;Q0037;A;Két külön áramkört kapcsolhat.;true;1;Ez a kétáramkörös kapcsoló lényege.;;;
C0166;Q0037;B;Két billentyűs.;true;2;Két külön kezelőfelület van rajta.;;;
C0167;Q0037;C;Csillárkapcsoló.;true;3;Ez a másik neve.;;;
C0168;Q0037;D;Egy helyről két fogyasztói csoportot működtet.;true;4;A két független áramkör miatt erre alkalmas.;;;
C0169;Q0037;E;Két helyről kapcsolható egy fogyasztó.;false;5;Ez nem a csillárkapcsoló feladata.;;;
C0170;Q0038;A;Váltókapcsoló.;true;1;Ez a 106-os kapcsoló neve.;;;
C0171;Q0038;B;Alternatív kapcsoló.;true;2;A váltókapcsoló másik elnevezése.;;;
C0172;Q0038;C;Egy fogyasztó két helyről kapcsolható vele.;true;3;Ez a fő alkalmazása.;;;
C0173;Q0038;D;Egy váltóérintkezőt tartalmaz.;true;4;A működését egy váltóérintkező adja.;;;
C0174;Q0038;E;Keresztkapcsoló.;false;5;A keresztkapcsoló külön típus.;;;
C0175;Q0039;A;Keresztkapcsoló.;true;1;Ez a 107-es kapcsoló.;;;
C0176;Q0039;B;Két váltókapcsoló közé iktatható.;true;2;A keresztkapcsoló mindig két váltókapcsoló között van.;;;
C0177;Q0039;C;Négy vezeték csatlakozik hozzá.;true;3;A forrás ezt hangsúlyozza.;;;
C0178;Q0039;D;A két alternatív szálat cseréli meg.;true;4;Ez a működési elve.;;;
C0179;Q0039;E;Egy fogyasztó három vagy több kapcsolási helyéről is alkalmazható.;true;5;A köztes kapcsolók számával bővíthető.;;;
C0180;Q0039;F;Csak két vezeték megy rá.;false;6;Ez nem igaz a keresztkapcsolóra.;;;
C0181;Q0040;A;Rendelkező szerv lehet nyomógomb.;true;1;A nyomógomb a rendelkező szerv tipikus példája.;;;
C0182;Q0040;B;Érzékelő szerv lehet termosztát.;true;2;A termosztát érzékelő szervként szerepel.;;;
C0183;Q0040;C;Jelformáló szerv lehet relé.;true;3;A relé jelformáló elemként működhet.;;;
C0184;Q0040;D;Beavatkozó szerv lehet mágneskapcsoló.;true;4;A mágneskapcsoló beavatkozó szerv.;;;
C0185;Q0040;E;A vezérlés a kimeneti eredményt figyeli és visszacsatol.;false;5;Ez már a szabályzás logikája.;;;
C0186;Q0041;A;Visszacsatolással működik.;true;1;A szabályzás alapja a visszacsatolás.;;;
C0187;Q0041;B;A kimeneti értéket figyelve avatkozik be.;true;2;A folyamat eredménye alapján módosít.;;;
C0188;Q0041;C;Stabilizálja a rendszert.;true;3;A negatív visszacsatolás erre szolgál.;;;
C0189;Q0041;D;Lehet kézi vagy automatikus.;true;4;Mindkét megoldás létezik.;;;
C0190;Q0041;E;A folyamat eredményétől függetlenül zajlik.;false;5;Ez a vezérlésre jellemző.;;;
C0191;Q0042;A;Elektromágnesként működik.;true;1;A mágneskapcsoló alapelve ez.;;;
C0192;Q0042;B;Főáramkörben többnyire három záró érintkezőt tartalmaz.;true;2;A teljesítménykapcsolás miatt ez jellemző.;;;
C0193;Q0042;C;Legalább egy záró és egy nyitó segédérintkezője lehet.;true;3;A vezérléshez segédérintkezők is vannak.;;;
C0194;Q0042;D;A segédérintkezők száma bővíthető.;true;4;A forrás külön kiemeli a bővíthetőséget.;;;
C0195;Q0042;E;Csak kézi mechanikus kapcsoló.;false;5;A működése elektromágneses.;;;
C0196;Q0043;A;Motorok túlterhelés elleni védelmére szolgál.;true;1;Ez a fő feladata.;;;
C0197;Q0043;B;A hőrelé segédérintkezőin jelzés adható.;true;2;A hőrelé erre is alkalmas.;;;
C0198;Q0043;C;A motorvédő kapcsoló megszakíthatja a túlterhelt áramkört.;true;3;Ez a motorvédő egyik erőssége.;;;
C0199;Q0043;D;Rövidzárlati pillanatkioldója is lehet.;true;4;A forrás ezt szintén említi.;;;
C0200;Q0043;E;Hibaáram-védelemre való.;false;5;Ez nem a motorvédő fő feladata.;;;
C0201;Q0044;A;Időrelé jellegű készülék.;true;1;A lépcsőházi automata valójában időrelé.;;;
C0202;Q0044;B;A nyomógomb megnyomására bekapcsolja a világítást.;true;2;Így indul a működés.;;;
C0203;Q0044;C;A beállított idő letelte után kikapcsol.;true;3;Ez az automata lényege.;;;
C0204;Q0044;D;Első feszültségre kapcsoláskor is bekapcsolhat egy ciklusra.;true;4;A dokumentum ezt külön megemlíti.;;;
C0205;Q0044;E;Folyamatos üzemben működik időzítés nélkül.;false;5;Ez nem igaz rá.;;;
C0206;Q0045;A;Minden nyomó működtetésre átkapcsol.;true;1;Ez az impulzusrelé definíciója.;;;
C0207;Q0045;B;Sok nyomógombos világításvezérlésnél hasznos.;true;2;Kifejezetten erre ajánlott.;;;
C0208;Q0045;C;DIN sínre pattintható, moduláris kivitelű lehet.;true;3;Az elosztóba szerelt moduláris készülék.;;;
C0209;Q0045;D;Csak keresztkapcsolókkal helyettesíthető.;false;4;Nem kizárólag azzal.;;;
C0210;Q0046;A;Feszültség hatására az emberi testen átfolyó áram nagysága.;true;1;Ez alapvető tényező.;;;
C0211;Q0046;B;Az áramütés időtartama.;true;2;Ez alapvető tényező.;;;
C0212;Q0046;C;Az érintkezési pontok közötti testellenállás.;true;3;Ez alapvető tényező.;;;
C0213;Q0046;D;Az áram útja a testben.;true;4;Ez alapvető tényező.;;;
C0214;Q0046;E;A vezeték színe.;false;5;Ez nem befolyásolja közvetlenül.;;;
C0215;Q0046;F;A dugalj márkája.;false;6;Ez nem befolyásolja közvetlenül.;;;
C0216;Q0047;A;A táplálás önműködő lekapcsolása.;true;1;A közvetett érintés elleni egyik mód.;;;
C0217;Q0047;B;II. érintésvédelmi osztályú szerkezet használata.;true;2;A közvetett érintés elleni egyik mód.;;;
C0218;Q0047;C;A környezet elszigetelése.;true;3;A közvetett érintés elleni egyik mód.;;;
C0219;Q0047;D;Földeletlen helyi egyenpotenciálú összekötés.;true;4;A közvetett érintés elleni egyik mód.;;;
C0220;Q0047;E;Villamos elválasztás.;true;5;A közvetett érintés elleni egyik mód.;;;
C0221;Q0047;F;Érintésvédelmi törpefeszültség alkalmazása.;true;6;A közvetett érintés elleni egyik mód.;;;
C0222;Q0047;G;Egyszerű kapcsoló beépítése.;false;7;Ez nem érintésvédelmi mód.;;;
C0223;Q0048;A;TN-C rendszer.;false;1;Itt a PEN közös vezető.;;;
C0224;Q0048;B;TN-S rendszer.;true;2;Itt külön vezetett az N és PE.;;;
C0225;Q0048;C;TT rendszer.;false;3;Itt nincs TN-S szerinti külön N és PE.;;;
C0226;Q0048;D;IT rendszer.;false;4;Ez nem a kérdezett rendszer.;;;
C0227;Q0049;A;Közös védő- és nullavezető.;true;1;A PEN jelentése.;;;
C0228;Q0049;B;Külön védő- és nullavezető.;false;2;Ez a TN-S-re jellemző.;;;
C0229;Q0049;C;Csak védőföld.;false;3;A PEN nem csak védőföld.;;;
C0230;Q0049;D;Csak nullavezető.;false;4;A PEN több szerepű vezető.;;;
C0231;Q0050;A;50V AC.;true;1;Ez a határérték a forrás szerint.;;;
C0232;Q0050;B;120V DC.;false;2;Ez az egyenáramú határérték.;;;
C0233;Q0050;C;230V AC.;false;3;Ez nem veszélytelen érintési feszültség.;;;
C0234;Q0050;D;24V AC.;false;4;Ez alacsonyabb feszültség.;;;
C0235;Q0051;A;TN-C rendszerben a PEN közös vezető.;true;1;Ez a TN-C sajátossága.;;;
C0236;Q0051;B;TN-S rendszerben külön N és PE van.;true;2;Ez a TN-S sajátossága.;;;
C0237;Q0051;C;TN-C-S rendszerben a PEN után különválik N és PE.;true;3;Ez a TN-C-S lényege.;;;
C0238;Q0051;D;Testzárlatnál a túláramvédelmi szervnek kell lekapcsolnia.;true;4;A TN rendszer elve ez.;;;
C0239;Q0051;E;Az N és PE szétválasztása után újra össze kell kötni őket.;false;5;Ez tilos.;;;
C0240;Q0051;F;A TN rendszerben nincs védővezető.;false;6;Ez nem igaz.;;;
C0241;Q0052;A;Távolból végzett munka.;true;1;Ez FAM munkamódszer.;;;
C0242;Q0052;B;Érintéssel végzett munka.;true;2;Ez FAM munkamódszer.;;;
C0243;Q0052;C;Potenciálon végzett munka.;true;3;Ez FAM munkamódszer.;;;
C0244;Q0052;D;Szigetelő szalaggal végzett munka.;false;4;Ez nem FAM munkamódszer.;;;
C0245;Q0052;E;Kézi csavarozás.;false;5;Ez nem FAM munkamódszer.;;;
C0246;Q0053;A;ÁPVGY.;true;1;Ez a helyes dokumentum.;;;
C0247;Q0053;B;MSZ 172.;false;2;Ez egy régebbi érintésvédelmi szabványsorozat.;;;
C0248;Q0053;C;VDE katalógus.;false;3;Ez nem a megnevezett dokumentum.;;;
C0249;Q0053;D;Konnektor jegyzék.;false;4;Ez nem a dokumentum neve.;;;
C0250;Q0054;A;Szemmel látható minőség.;true;1;Ez minősítési szempont.;;;
C0251;Q0054;B;Villamos minőség.;true;2;Ez minősítési szempont.;;;
C0252;Q0054;C;Működési minőség.;true;3;Ez minősítési szempont.;;;
C0253;Q0054;D;Méret szerinti minőség.;true;4;Ez minősítési szempont.;;;
C0254;Q0054;E;Mechanikai minőség.;true;5;Ez minősítési szempont.;;;
C0255;Q0054;F;Esztétikai minőség.;false;6;Ez nem szerepel a forrásban.;;;
C0256;Q0055;A;Mü I.;true;1;A forrás szerint ez a legvékonyabb falú cső.;;;
C0257;Q0055;B;Mü II.;false;2;Ez vastagabb.;;;
C0258;Q0055;C;Mü III.;false;3;Ez a legvastagabb.;;;
C0259;Q0055;D;MG I.;false;4;Ez nem a kérdezett típus.;;;
C0260;Q0056;A;A szilárd tárgyak elleni mechanikai védettséget jelöli.;true;1;Az első számjegy ezt mutatja.;;;
C0261;Q0056;B;A víz elleni védettséget jelöli.;false;2;Ez a második számjegyhez tartozik.;;;
C0262;Q0056;C;A névleges áramerősséget jelöli.;false;3;Ez nem IP-jelölés.;;;
C0263;Q0056;D;A vezeték színét jelöli.;false;4;Ez nem IP-jelölés.;;;
C0264;Q0057;A;A kettős négyzet jelöli.;true;1;Ez a II. osztály jele.;;;
C0265;Q0057;B;A földelőkapocs jelöli.;false;2;Ez nem a II. osztály jele.;;;
C0266;Q0057;C;Az áram-védőkapcsoló jele.;false;3;Ez nem a II. osztály jele.;;;
C0267;Q0057;D;Az IP20 jelöli.;false;4;Ez nem a II. osztály jele.;;;
C0268;Q0058;A;230 V.;true;1;A háromfázisú 230/400 V-os hálózat fázisfeszültsége.;;;
C0269;Q0058;B;50 V.;false;2;Ez az érintési feszültség határértéke, nem Uo.;;;
C0270;Q0058;C;400 V.;false;3;Ez a vonali feszültség.;;;
C0271;Q0058;D;120 V.;false;4;Ez az egyenáramú határérték.;;;
C0272;Q0059;A;Megbontás nélkül, szemrevételezéssel ellenőrzik.;true;1;Ez a szerelői ellenőrzés lényege.;;;
C0273;Q0059;B;Csak mérőműszerrel ellenőrzik.;false;2;Nem csak műszeres ellenőrzés.;;;
C0274;Q0059;C;Csak felülvizsgáló végezheti.;false;3;A szerelői ellenőrzést a szerelő is elvégzi.;;;
C0275;Q0059;D;Feszültség alatti munkával ellenőrzik.;false;4;Ez nem szerelői ellenőrzés.;;;
C0276;Q0060;A;Folytonosságvizsgálat.;true;1;A felsorolt feladatok egyike.;;;
C0277;Q0060;B;Szigetelési ellenállás ellenőrzése.;true;2;A felsorolt feladatok egyike.;;;
C0278;Q0060;C;Feszültség alá helyezés.;true;3;A felsorolt feladatok egyike.;;;
C0279;Q0060;D;Működési próba.;true;4;A felsorolt feladatok egyike.;;;
C0280;Q0060;E;A szerelvények díszítése.;false;5;Ez nem része az ellenőrzésnek.;;;
C0281;Q0061;A;A motor névleges áramának értékére.;true;1;A hőkioldót erre állítjuk.;;;
C0282;Q0061;B;A motor névleges feszültségének felére.;false;2;Ez nem jó beállítás.;;;
C0283;Q0061;C;A névleges teljesítmény kétszeresére.;false;3;Ez nem jó beállítás.;;;
C0284;Q0061;D;A hálózati frekvencia szerint.;false;4;Ez nem a beállítás alapja.;;;
